R_fighter,Avg_sig_strike_att,Avg_sig_strike_pct,Avg_TD_att,Avg_TD_landed,Avg_TD_pct,Avg_Total_strike_att,Avg_Total_strike_landed,R_Stance,Reach,Height,Winner
Louis Smolka,1.1749572405929305,1.7510918674698794,0.3800929588607595,0.17256030701754385,0.19285281814178776,1.1126305504466631,1.0716257003735326,Orthodox,0.9855072463768116,1.0147058823529411,Yes
Gian Villante,1.2465762010261194,1.4278502993246007,0.11946168664383562,0.007486979166666667,0.0234107448630137,1.2094181891814304,1.4990332170958511,Orthodox,0.9743589743589743,1,No
Ovince Saint Preux,0.544399695637625,0.8526104558812508,1.0517597198486328,0.3452882766723633,0.08974815368652345,0.5567654132843017,0.5635656406139505,Southpaw,1.0126582278481013,0.986842105263158,No
Jack Hermansson,0.5271053835097348,0.8389143094841929,1.3873456790123457,0.5373641304347826,0.335427135678392,0.5991653999064547,0.5646167321371696,Orthodox,1.0405405405405406,1.0138888888888888,No
Ashlee Evans-Smith,13.4599609375,1.0640120967741935,2.1770833333333335,1.34375,0.5776515151515151,8.953125,5.533482142857143,Orthodox,1,1.0149253731343284,No
Jonathan Pearce,0.10270270270270271,0.6885245901639344,0,0,0,0.08796296296296297,0.057971014492753624,Switch,1.028985507246377,1.0746268656716418,Yes
Miguel Baeza,1.34,0.884297520661157,1,2,4,1.3270142180094786,1.4951456310679612,Orthodox,1.0136986301369864,1.0571428571428572,Yes
Anthony Smith,0.9528243412247406,0.7126311535169746,0.27086653386454185,0.16272271714922049,0.27243698428845936,0.6523194048788983,0.4533098364983254,Orthodox,1.0133333333333332,1.0555555555555556,Yes
Spike Carlyle,0.28273809523809523,1.1923076923076925,3,1.5,0.25,0.3125,0.32068965517241377,Switch,0.9726027397260273,0.9444444444444444,No
Martin Day,1.1390728476821192,1.7358490566037736,0.2,0.5,4.545454545454546,1.1454005934718101,1.7345132743362832,Orthodox,1.042857142857143,1.076923076923077,No
Luke Sanders,1.3175,1.1845238095238095,0.625,0.03125,0.015625,0.36195231958762886,0.22844145569620253,Southpaw,0.9305555555555556,0.9428571428571428,No
Gina Mazany,0.6879562043795621,0.9296116504854369,0.5277777777777778,0.25,0.22583333333333333,1.2563694267515924,1.7025316455696202,Southpaw,1.0967741935483872,1.0476190476190477,Yes
Su Mudaerji,5.84375,3.3055555555555554,0.5,0.5,0.5,5.583333333333333,12.3,Southpaw,1.0140845070422535,1.0149253731343284,Yes
Brandon Moreno,2.6141826923076925,0.7329963235294118,3.84375,0.84375,0.3378125,2.7796378968253967,2.3319777397260273,Orthodox,1.0294117647058825,0.9710144927536233,Yes
Joaquin Buckley,7.133333333333334,0.315,2,0.5,0.25,5.142857142857143,1.6666666666666667,Southpaw,0.9870129870129869,0.9459459459459459,Yes
Katlyn Chookagian,0.4619166701987878,0.8616134891802243,0.16024305555555557,0.25396825396825395,0.4579278763594734,0.5639413906710595,0.6670420173592846,Orthodox,1.0625,1.078125,Yes
Antonina Shevchenko,0.9735449735449735,0.8708971553610503,2,2,1,0.7494669509594882,0.7419962335216572,Southpaw,1,1.0303030303030303,Yes
Valentina Shevchenko,0.7306423611111111,1.2489027387640448,6.03125,9.6484375,7.523125,0.8762019230769231,1.276374859708193,Southpaw,1.03125,1.015625,Yes
Deiveson Figueiredo,0.7911267605633803,1.6955212645841173,0.6584507042253521,0.6453488372093024,0.7931137724550897,0.6503174603174603,0.8032110091743119,Orthodox,1.0461538461538462,0.9848484848484848,Yes
Mauricio Rua,2.4045922529874546,1.0074577155149969,1.884182755235602,3.6246231522302903,2.171796589522636,2.0480635081853165,1.7883849331745592,Orthodox,1,0.9733333333333333,No
